,십만명당 회피가능사망율,면적(2019),상급병원인력,종합병원인력,병원인력,의원인력,상급밀도,종합밀도,병원밀도,의원밀도
십만명당 회피가능사망율,1.0,0.831932119272206,-0.5070851670991462,-0.08141579590840607,-0.13032889319126284,-0.39368082812834876,-0.6305841963270612,-0.5751095000893264,-0.6113956273929687,-0.6831949579676436
면적(2019),0.831932119272206,1.0,-0.6444988430316663,-0.2370959326498672,-0.3630127933015569,-0.5138463098224755,-0.8372422550367047,-0.7858232783694709,-0.8151706376198993,-0.8745138049792818
상급병원인력,-0.5070851670991462,-0.6444988430316663,1.0,0.4401915985091705,0.7048967358197562,0.9250096426765632,0.8392622514591713,0.48931665062777646,0.7071474320591515,0.6964643452337022
종합병원인력,-0.08141579590840607,-0.2370959326498672,0.4401915985091705,1.0,0.6479139047535813,0.64946575277614,0.4578832183509708,0.6264616965331329,0.46128257794436417,0.48047616876956856
병원인력,-0.13032889319126284,-0.3630127933015569,0.7048967358197562,0.6479139047535813,1.0,0.8328761719678999,0.6711480679058222,0.4417895695260337,0.6602051460975249,0.581774242237408
의원인력,-0.39368082812834876,-0.5138463098224755,0.9250096426765632,0.64946575277614,0.8328761719678999,1.0,0.7335179869422306,0.4763213239956809,0.6377255392895979,0.6280736886012297
상급밀도,-0.6305841963270612,-0.8372422550367047,0.8392622514591713,0.4578832183509708,0.6711480679058222,0.7335179869422306,1.0,0.8193125769025815,0.964167427610855,0.959150817762607
종합밀도,-0.5751095000893264,-0.7858232783694709,0.48931665062777646,0.6264616965331329,0.4417895695260337,0.4763213239956809,0.8193125769025815,1.0,0.8727538153236325,0.9227210022610516
병원밀도,-0.6113956273929687,-0.8151706376198993,0.7071474320591515,0.46128257794436417,0.6602051460975249,0.6377255392895979,0.964167427610855,0.8727538153236325,1.0,0.9701674249114568
의원밀도,-0.6831949579676436,-0.8745138049792818,0.6964643452337022,0.48047616876956856,0.581774242237408,0.6280736886012297,0.959150817762607,0.9227210022610516,0.9701674249114568,1.0
