,십만명당 회피가능사망율,면적(2019),상급병원인력,종합병원인력,병원인력,의원인력,상급밀도,종합밀도,병원밀도,의원밀도
십만명당 회피가능사망율,1.0,0.6348053445648307,-0.3348211298961828,-0.46156517296728916,-0.4558782118957689,-0.45133395063978493,-0.2511256695632519,-0.3314048152998064,-0.3881828286031665,-0.2837253239540647
면적(2019),0.6348053445648307,1.0,-0.3697754305195498,-0.08022382096299474,-0.18642259076686257,-0.17648780756790491,-0.4452219497950882,-0.5618388426165436,-0.6704842427647928,-0.4687178237260152
상급병원인력,-0.3348211298961828,-0.3697754305195498,1.0,0.7447532009674631,0.7387967832266054,0.8947606274288619,0.9687694838471348,0.9168369816206293,0.8711948156914896,0.9651442517438535
종합병원인력,-0.46156517296728916,-0.08022382096299474,0.7447532009674631,1.0,0.9315002609172864,0.9526521265817957,0.5905600828732792,0.5951443694212888,0.512257351465104,0.6056618905441142
병원인력,-0.4558782118957689,-0.18642259076686257,0.7387967832266054,0.9315002609172864,1.0,0.9080651165725578,0.5926056348710398,0.5793601001492193,0.5879771268333762,0.6012284051064856
의원인력,-0.45133395063978493,-0.17648780756790491,0.8947606274288619,0.9526521265817957,0.9080651165725578,1.0,0.7716915296275281,0.7314312579748504,0.6626479558575687,0.7780442779099035
상급밀도,-0.2511256695632519,-0.4452219497950882,0.9687694838471348,0.5905600828732792,0.5926056348710398,0.7716915296275281,1.0,0.965039045518211,0.9264209111426472,0.9976726094146686
종합밀도,-0.3314048152998064,-0.5618388426165436,0.9168369816206293,0.5951443694212888,0.5793601001492193,0.7314312579748504,0.965039045518211,1.0,0.9579805901753187,0.9772498528365583
병원밀도,-0.3881828286031665,-0.6704842427647928,0.8711948156914896,0.512257351465104,0.5879771268333762,0.6626479558575687,0.9264209111426472,0.9579805901753187,1.0,0.9352075880969836
의원밀도,-0.2837253239540647,-0.4687178237260152,0.9651442517438535,0.6056618905441142,0.6012284051064856,0.7780442779099035,0.9976726094146686,0.9772498528365583,0.9352075880969836,1.0
